Date,Stock_Price,Strike,Expiry,Days_to_Exp,Actual_Put,BSM_Put,Actual_Call,BSM_Call,Synthetic_Actual,Synthetic_BSM,Parity_RHS
2025-08-29,3601.0,3600.0,30-Sep-2025,32,57.2,98.79651007074449,76.25,118.68377672189717,3658.2,3699.7965100707443,3657.3627333488475
2025-09-01,3598.4,3600.0,30-Sep-2025,29,55.8,95.65705768244948,70.0,111.17786060573576,3654.2000000000003,3694.0570576824493,3652.879197076714
2025-09-02,3574.9,3550.0,30-Sep-2025,28,46.2,81.15082081417427,87.0,122.35300071562551,3621.1,3656.0508208141746,3620.6978200985486
2025-09-03,3600.8,3600.0,30-Sep-2025,27,56.25,91.51201575355913,69.15,108.25469213611018,3657.05,3692.3120157535595,3653.207323617449
2025-09-04,3592.6,3600.0,30-Sep-2025,26,59.1,93.76870621227044,61.5,101.72217406005734,3651.7,3686.3687062122704,3646.1465321522132
2025-09-05,3553.6,3550.0,30-Sep-2025,25,46.3,85.8176415793996,65.15,103.97674621647411,3599.9,3639.4176415793995,3600.5908953629255
2025-09-08,3529.6,3550.0,30-Sep-2025,22,53.05,92.32905036528246,50.45,84.74421992722864,3582.65,3621.9290503652824,3587.6348304380535
2025-09-09,3525.0,3500.0,30-Sep-2025,21,33.45,68.53187844944614,76.05,105.59324001214691,3558.45,3593.531878449446,3563.9886384372994
2025-09-10,3550.0,3550.0,30-Sep-2025,20,40.9,78.92730025059677,59.0,90.57936854705122,3590.9,3628.927300250597,3597.347931703546
2025-09-11,3539.7,3550.0,30-Sep-2025,19,46.75,81.98591328462112,50.55,82.75628753656747,3586.45,3621.685913284621,3589.479625748054
2025-09-12,3579.8,3600.0,30-Sep-2025,18,49.1,86.07100888925811,38.85,76.50732001125903,3628.9,3665.8710088892585,3628.213688877999
2025-09-15,3586.2,3600.0,30-Sep-2025,15,42.7,76.70409244308803,42.55,71.7698698693805,3628.8999999999996,3662.904092443088,3633.6842225737073
2025-09-16,3667.8,3650.0,30-Sep-2025,14,27.7,60.66521515773729,56.75,86.85555681487335,3695.5,3728.4652151577375,3698.3596583428643
2025-09-17,3685.5,3700.0,30-Sep-2025,13,40.85,74.36494939582212,41.85,67.76335631138886,3726.35,3759.864949395822,3733.951593084433
2025-09-18,3686.0,3700.0,30-Sep-2025,12,39.95,71.64681869307879,38.75,64.93825491218763,3725.95,3757.646818693079,3731.458563780891
2025-09-19,3675.4,3700.0,30-Sep-2025,11,43.15,74.59567212280922,31.15,56.68003786125473,3718.55,3749.995672122809,3724.465634261555
2025-09-22,3644.5,3650.0,30-Sep-2025,8,28.1,55.39963405639878,31.8,54.696479275084585,3672.6,3699.899634056399,3677.003154781314
2025-09-23,3657.6,3650.0,30-Sep-2025,7,18.35,45.90493273290576,36.0,57.70251722113585,3675.95,3703.5049327329057,3681.8024155117696
2025-09-24,3673.8,3650.0,30-Sep-2025,6,11.4,35.415649460553595,42.95,62.813874701618715,3685.2000000000003,3709.215649460554,3689.3517747589353
2025-09-25,3644.4,3650.0,30-Sep-2025,5,19.3,44.84284080405814,22.85,42.24160826505113,3663.7000000000003,3689.2428408040582,3669.851232539007
2025-09-26,3729.5,3750.0,28-Oct-2025,32,84.9,113.05718811298402,92.85,112.2314242079342,3814.4,3842.557188112984,3823.1757639050493
2025-09-29,3688.4,3700.0,28-Oct-2025,29,75.3,102.98521076145676,90.65,108.9815915437232,3763.7000000000003,3791.3852107614566,3773.0536192177337
2025-09-30,3659.0,3650.0,28-Oct-2025,28,64.15,90.63574894062913,95.05,116.3971451773325,3723.15,3749.635748940629,3728.2886037632966
2025-10-01,3670.3,3680.0,28-Oct-2025,27,67.6,98.46409383365767,75.65,105.06105191359848,3737.9,3768.764093833658,3739.3530419200592
2025-10-03,3733.1,3740.0,28-Oct-2025,25,65.35,95.37938174926512,76.25,103.81770607114095,3798.45,3828.479381749265,3800.911675678124
2025-10-06,3737.0,3740.0,28-Oct-2025,22,62.85,88.29558676803481,75.85,98.79663864456393,3799.85,3825.295586768035,3802.3489481234706
2025-10-07,3729.7,3720.0,28-Oct-2025,21,48.4,80.16190719764381,79.1,102.68141148714267,3778.1,3809.8619071976436,3786.280495710501
2025-10-08,3729.8,3720.0,28-Oct-2025,20,53.25,78.22378637257475,72.2,100.23384103815533,3783.05,3808.023786372575,3779.9899453344196
2025-10-09,3769.2,3760.0,28-Oct-2025,19,49.25,77.41232844006822,69.7,98.33756990128495,3818.45,3846.6123284400683,3817.974758538783
2025-10-10,3784.0,3780.0,28-Oct-2025,18,42.65,78.17486089219778,65.45,93.34298757029842,3826.65,3862.174860892198,3834.281873321899
2025-10-13,3769.5,3760.0,28-Oct-2025,15,40.8,68.73623203926059,63.7,87.49604401783336,3810.3,3838.2362320392604,3814.4401880214273
2025-10-14,3744.3,3740.0,28-Oct-2025,14,44.1,68.40399502177206,58.9,81.30122181565957,3788.4,3812.7039950217722,3790.3027732061128
2025-10-15,3828.7,3820.0,28-Oct-2025,13,36.75,65.42614104600511,51.15,82.28071251018446,3865.45,3894.1261410460047,3862.9954285358203
2025-10-16,3861.8,3860.0,28-Oct-2025,12,34.75,66.73799549020555,40.05,76.14473705933051,3896.55,3928.5379954902055,3892.4432584308756
2025-10-17,3839.4,3840.0,28-Oct-2025,11,30.65,64.81483931701882,37.9,71.15212700232428,3870.05,3904.214839317019,3870.9627123146947
2025-10-20,3872.7,3880.0,28-Oct-2025,8,32.15,59.61213414322128,31.2,57.41124632089259,3904.85,3932.312134143221,3906.1008878223283
2025-10-21,3888.2,3880.0,28-Oct-2025,7,23.85,48.74229772988997,35.1,61.40438754203569,3912.0499999999997,3936.94229772989,3910.637910187854
2025-10-23,3918.7,3920.0,28-Oct-2025,5,24.45,45.8239951766177,26.1,47.74458927171099,3943.1499999999996,3964.5239951766175,3942.8794059049064
2025-10-24,3904.9,3900.0,25-Nov-2025,32,82.4,105.29965133317364,114.4,130.66085687192276,3987.3,4010.1996513331737,3993.9387944612513
2025-10-27,3923.8,3920.0,25-Nov-2025,29,83.15,101.6223172690045,116.5,124.06496934102711,4006.9500000000003,4025.4223172690045,4017.8573479279776
2025-10-28,3972.8,3980.0,25-Nov-2025,28,96.85,106.62563662349726,109.15,117.70244676653328,4069.65,4079.4256366234977,4070.8731898569645
2025-10-29,3958.1,3960.0,25-Nov-2025,27,93.15,101.9460973191924,110.05,117.58304133999832,4051.25,4060.046097319192,4052.513055979194
2025-10-30,3987.5,3980.0,25-Nov-2025,26,66.7,96.4222997841257,90.9,120.89641146029044,4054.2,4083.9222997841257,4053.925888323836
2025-10-31,4030.9,4040.0,25-Nov-2025,25,66.05,103.81123796250017,79.1,111.27990915511486,4096.95,4134.7112379625005,4102.531328807386
2025-11-10,3918.5,3920.0,25-Nov-2025,15,47.9,76.93566988909424,61.05,85.0895164199469,3966.4,3995.4356698890942,3971.396153469148
2025-11-11,3955.0,3960.0,25-Nov-2025,14,51.35,76.93822820399191,54.6,81.04117422104878,4006.35,4031.938228203992,4005.497053982943
2025-11-12,3954.6,3960.0,25-Nov-2025,13,47.55,74.58604195437192,51.45,77.63947205859972,4002.15,4029.186041954372,4002.9965698957717
2025-11-13,4002.5,4000.0,25-Nov-2025,12,46.0,68.8607893060555,54.25,79.24342305644359,4048.5,4071.3607893060553,4046.3673662496117
2025-11-14,4004.4,4000.0,25-Nov-2025,11,41.25,65.15027139474432,48.15,76.77661273360445,4045.65,4069.5502713947444,4040.9236586611405
2025-11-17,4027.7,4020.0,25-Nov-2025,8,34.55,54.460503860482504,44.65,67.44360462188479,4062.25,4082.160503860482,4059.366899238598
2025-11-18,3999.6,4000.0,25-Nov-2025,7,34.75,54.39928425888161,36.55,58.59937684872284,4034.35,4053.9992842588817,4031.9499074101586
2025-11-19,4019.6,4020.0,25-Nov-2025,6,32.35,50.78908772605314,28.6,54.35206456689639,4051.95,4070.389087726053,4044.6370231591563
2025-11-20,4037.4,4040.0,25-Nov-2025,5,22.95,47.84373681788634,21.55,48.56292052813524,4060.35,4085.243736817886,4058.2308162897507
2025-11-21,4024.9,4020.0,30-Dec-2025,39,70.45,118.93458920831085,103.35,149.52420846843188,4095.35,4143.834589208311,4097.660380739879
2025-11-24,4013.3,4020.0,30-Dec-2025,36,69.4,119.94766859183801,93.2,136.96700516867259,4082.7000000000003,4133.247668591838,4089.4806634231654
2025-11-25,3996.7,4000.0,30-Dec-2025,35,65.5,116.33866927138843,89.85,135.98629089470637,4062.2,4113.038669271388,4066.9023783766816
2025-11-26,4062.0,4060.0,30-Dec-2025,34,62.95,114.13130975338254,88.15,138.75952269286427,4124.95,4176.131309753382,4125.521787060518
2025-11-27,4081.3,4080.0,30-Dec-2025,33,61.95,113.46894858775818,89.65,136.84162883434738,4143.25,4194.768948587758,4147.577319753411
2025-11-28,4069.6,4060.0,30-Dec-2025,32,56.25,107.60498943177618,94.4,138.50562904390927,4125.85,4177.204989431776,4133.099360387867
